#Release 14.6 - par P.68d (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Apr 07 07:16:17 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       FPGA_Code2_map.ncd
#OUTPUT FILE:      FPGA_Code2_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -4
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,TMS,,,,,,,,,,,,
P2,,,TDI,,,,,,,,,,,,
P3,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
P4,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
P5,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
P6,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
P7,,DIFFMLR,IO_L03P_3,UNUSED,,3,,,,,,,,,
P8,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
P9,,,GND,,,,,,,,,,,,
P10,,DIFFMLR,IO_L04P_3,UNUSED,,3,,,,,,,,,
P11,,DIFFSLR,IO_L04N_3/VREF_3,UNUSED,,3,,,,,,,,,
P12,,DIFFMLR,IO_L05P_3/LHCLK0,UNUSED,,3,,,,,,,,,
P13,,DIFFSLR,IO_L05N_3/LHCLK1,UNUSED,,3,,,,,,,,,
P14,,,VCCO_3,,,3,,,,,2.50,,,,
P15,,DIFFMLR,IO_L06P_3/LHCLK2,UNUSED,,3,,,,,,,,,
P16,,DIFFSLR,IO_L06N_3/IRDY2/LHCLK3,UNUSED,,3,,,,,,,,,
P17,,,GND,,,,,,,,,,,,
P18,,DIFFMLR,IO_L07P_3/LHCLK4,UNUSED,,3,,,,,,,,,
P19,,DIFFMLR,IO_L08P_3/TRDY2/LHCLK6,UNUSED,,3,,,,,,,,,
P20,,DIFFSLR,IO_L07N_3/LHCLK5,UNUSED,,3,,,,,,,,,
P21,MIC23,IOB,IO_L08N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P22,,,VCCINT,,,,,,,,1.2,,,,
P23,,,VCCO_3,,,3,,,,,2.50,,,,
P24,MIC24,IBUF,IO_L09P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P25,MIC25,IBUF,IO_L09N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P26,,,GND,,,,,,,,,,,,
P27,MIC26,IBUF,IO_L10P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P28,MIC27,IBUF,IO_L11P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P29,MIC28,IBUF,IO_L10N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P30,MIC29,IBUF,IO_L11N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P31,MIC30,IBUF,IO_L12P_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P32,MIC31,IBUF,IO_L12N_3,INPUT,LVCMOS25*,3,,,,IBUF,,LOCATED,NO,NONE,
P33,,DIFFMI_NDT,IP_L13P_3,UNUSED,,3,,,,,,,,,
P34,,,GND,,,,,,,,,,,,
P35,,DIFFSI_NDT,IP_L13N_3/VREF_3,UNUSED,,3,,,,,,,,,
P36,,,VCCAUX,,,,,,,,3.3,,,,
P37,MIC32,IOB,IO_L01P_2/M1,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P38,MIC33,IOB,IO_L01N_2/M0,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P39,MIC34,IOB,IO_L02P_2/M2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P40,,,VCCO_2,,,2,,,,,2.50,,,,
P41,MIC35,IOB,IO_L02N_2/CSO_B,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P42,MIC36,IOB,IO_L03P_2/RDWR_B,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P43,MIC37,IOB,IO_L04P_2/VS2,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P44,MIC38,IOB,IO_L03N_2/VS1,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P45,MIC39,IOB,IO_L04N_2/VS0,BIDIR,LVCMOS25*,2,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P46,CS,IBUF,IO_L05P_2,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P47,,DIFFMTB,IO_L06P_2,UNUSED,,2,,,,,,,,,
P48,MOSI,IBUF,IO_L05N_2/D7,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P49,SCK,IBUF,IO_L06N_2/D6,INPUT,LVCMOS25*,2,,,,IBUF,,LOCATED,NO,NONE,
P50,,DIFFMTB,IO_L07P_2/D5,UNUSED,,2,,,,,,,,,
P51,,DIFFSTB,IO_L07N_2/D4,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,IBUF,IP_2/VREF_2,UNUSED,,2,,,,,,,,,
P54,,DIFFMTB,IO_L08P_2/GCLK14,UNUSED,,2,,,,,,,,,
P55,,DIFFSTB,IO_L08N_2/GCLK15,UNUSED,,2,,,,,,,,,
P56,,,GND,,,,,,,,,,,,
P57,,DIFFMTB,IO_L09P_2/GCLK0,UNUSED,,2,,,,,,,,,
P58,,DIFFMTB,IO_L10P_2/GCLK2,UNUSED,,2,,,,,,,,,
P59,,DIFFSTB,IO_L09N_2/GCLK1,UNUSED,,2,,,,,,,,,
P60,,DIFFSTB,IO_L10N_2/GCLK3,UNUSED,,2,,,,,,,,,
P61,,,VCCO_2,,,2,,,,,2.50,,,,
P62,,DIFFMTB,IO_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P63,ZIF39,IOB,IO_L11P_2/AWAKE,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P64,,DIFFSTB,IO_L11N_2/DOUT,UNUSED,,2,,,,,,,,,
P65,,,GND,,,,,,,,,,,,
P66,,,VCCAUX,,,,,,,,3.3,,,,
P67,,DIFFMTB,IO_L12P_2/INIT_B,UNUSED,,2,,,,,,,,,
P68,,DIFFSTB,IO_L12N_2/D3,UNUSED,,2,,,,,,,,,
P69,,DIFFMTB,IO_L13P_2/D2,UNUSED,,2,,,,,,,,,
P70,,DIFFMTB,IO_L14P_2/D1,UNUSED,,2,,,,,,,,,
P71,,DIFFSTB,IO_L13N_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
P72,,DIFFSTB,IO_L14N_2/CCLK,UNUSED,,2,,,,,,,,,
P73,,,DONE,,,,,,,,,,,,
P74,,,SUSPEND,,,,,,,,,,,,
P75,,DIFFMLR,IO_L02P_1/LDC1,UNUSED,,1,,,,,,,,,
P76,ZIF30,IOB,IO_L01P_1/HDC,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P77,ZIF29,IOB,IO_L02N_1/LDC0,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P78,ZIF28,IOB,IO_L01N_1/LDC2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P79,ZIF27,IOB,IO_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P80,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
P81,,,GND,,,,,,,,,,,,
P82,ZIF26,IOB,IO_L03P_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P83,ZIF25,IOB,IO_L04P_1/RHCLK0,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P84,ZIF24,IOB,IO_L03N_1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P85,ZIF23,IOB,IO_L04N_1/RHCLK1,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P86,,,VCCO_1,,,1,,,,,2.50,,,,
P87,ZIF22,IOB,IO_L05P_1/RHCLK2,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P88,ZIF21,IOB,IO_L05N_1/TRDY1/RHCLK3,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P89,,,GND,,,,,,,,,,,,
P90,ZIF20,IOB,IO_L06P_1/RHCLK4,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P91,ZIF19,IOB,IO_L07P_1/IRDY1/RHCLK6,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P92,ZIF18,IOB,IO_L06N_1/RHCLK5,BIDIR,LVCMOS25*,1,12,SLOW,NONE**,IBUF,,LOCATED,NO,NONE,
P93,ZIF17,IOB,IO_L07N_1/RHCLK7,TRISTATE,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
